model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,group_type,group
110,grouped_current_model,2026-04-05,2026-06-11,15,12,3,0,0.8,-35.2,0.5295690310336181,0.5511813026532786,8.26771953979918,0.03006614764180035,0.11683261648745522,0.5564275445620146,0.9106458463533063,2.5703928025764697,-2.0,2,0.0062,6,0.8611819986227546,0.0,0.3333333333333333,team,110
111,grouped_current_model,2026-04-03,2026-06-29,34,18,16,0,0.5294117647058824,-40.029411764705884,0.5305536963680342,0.013360825801855917,0.45426807726310114,0.574612099523276,-0.3201317765994084,0.01694344244340281,0.3316520667578281,0.07918508201382946,-5.66236559139785,3,0.473,15,2.071234074692536,0.4690431519699833,0.6666666666666666,team,111
112,grouped_current_model,2026-03-26,2026-05-16,27,13,14,0,0.48148148148148145,15.333333333333334,0.5044676933492571,-0.05317248974725613,-1.4356572231759155,0.6666455082132166,-0.41543767005231597,-0.0519296671657736,0.31756391061903055,-0.27142977536872803,-4.62,5,0.6116,9,1.8058999440058818,2.1739130434782705,0.6666666666666666,team,112
113,grouped_current_model,2026-03-26,2026-06-27,27,18,9,0,0.6666666666666666,-2.074074074074074,0.5109099848207393,0.2880099138653616,7.776267674364764,0.07599178657530316,-0.07878008773244824,0.2901220420997518,0.630851943656872,1.5740195895764792,-2.367088607594937,2,0.051,11,2.2953253168956285,1.0000000000000009,0.5454545454545454,team,113
114,grouped_current_model,2026-04-03,2026-06-28,35,21,14,0,0.6,-17.714285714285715,0.51663690795967,0.187068132358288,6.54738463254008,0.20712974309559232,-0.14656199420501823,0.19357258478542078,0.5128641931669381,1.0985608310156416,-4.089949780288764,4,0.1304,18,1.6729374797835252,1.1333473772909164,0.6111111111111112,team,114
115,grouped_current_model,2026-05-09,2026-05-09,1,1,0,0,1.0,110.0,0.47619047619047616,1.1,1.1,0.47619047619047616,1.1,1.1,1.1,,0.0,0,0.0,1,5.000000000000004,5.000000000000004,1.0,team,115
116,grouped_current_model,2026-03-26,2026-06-28,35,22,13,0,0.6285714285714286,-0.5428571428571428,0.5151269999538937,0.2104030372600532,7.3641063041018615,0.1199122020112454,-0.12165130692522542,0.2065214741819919,0.5297783648567327,1.2869005787865795,-3.69015873015873,3,0.1016,14,2.4649374484876385,1.1725638816929782,0.5714285714285714,team,116
117,grouped_current_model,2026-04-01,2026-06-17,13,8,5,0,0.6153846153846154,-3.230769230769231,0.5201102358000715,0.16633016493573188,2.1622921441645144,0.34299393842789594,-0.34709647227005924,0.1695117896575657,0.6571782471737442,0.6108761034631509,-3.300699300699301,2,0.2662,7,2.166628173640347,1.7699115044247815,0.7142857142857143,team,117
118,grouped_current_model,2026-03-27,2026-06-24,26,13,13,0,0.5,1.3076923076923077,0.5096754638457099,0.0049276494594220005,0.128118885944972,0.616043153744801,-0.38039223717568205,0.00198850295004142,0.3877331203727523,0.024231610418906292,-3.1466666666666665,3,0.4846,11,2.7595946389407353,3.874092009685226,0.6363636363636364,team,118
119,grouped_current_model,2026-04-03,2026-06-28,18,9,9,0,0.5,-57.55555555555556,0.5273820417410557,-0.013720946597981239,-0.24697703876366228,0.6809496313395474,-0.465950614130723,-0.013379322812961256,0.45473495062294644,-0.056961148539853027,-5.090434782608696,3,0.52,13,0.09038192854743637,-0.4349717268377517,0.46153846153846156,team,119
120,grouped_current_model,2026-04-21,2026-06-22,9,5,4,0,0.5555555555555556,-21.0,0.5191203888426535,0.09803186626616162,0.8822867963954546,0.5469624560899404,-0.5646783625730994,0.09803186626616162,0.775984030589293,0.272118594394835,-2.3421052631578947,2,0.3946,3,-4.421535648363791,-6.1403508771930015,0.3333333333333333,team,120
121,grouped_current_model,2026-03-28,2026-06-29,44,28,16,0,0.6363636363636364,-22.522727272727273,0.5245228007330615,0.22843821725162616,10.051281559071551,0.0903644898635957,-0.04606095788729422,0.23373663420351362,0.5104558230897547,1.5733247037434703,-6.3,4,0.0596,18,2.3177848111236097,0.983649979532375,0.6666666666666666,team,121
133,grouped_current_model,2026-03-30,2026-06-25,15,6,9,0,0.4,18.466666666666665,0.50189089535425,-0.2151668003389385,-3.2275020050840775,0.8525606923307438,-0.72075,-0.21797849462365596,0.29854429083461315,-0.8325629765936008,-7.20483870967742,4,0.807,5,5.51241783940106,5.188679245283012,0.8,team,133
134,grouped_current_model,2026-04-01,2026-06-29,21,12,9,0,0.5714285714285714,49.23809523809524,0.4855253469915678,0.1903073822121441,3.9964550264550263,0.2846354637377967,-0.24577450239355,0.191859410430839,0.6136269841269838,0.8186798066116107,-4.0,4,0.2026,12,2.3002595469536398,1.6874438454627216,0.75,team,134
135,grouped_current_model,2026-04-01,2026-06-10,9,6,3,0,0.6666666666666666,-24.22222222222222,0.5232528345172133,0.31780801209372633,2.860272108843537,0.30174134857634194,-0.35774754346182924,0.3266969009826151,0.8845597127739977,0.9459944733680838,-2.0,2,0.1484,3,0.10190399570931079,0.3539823008849696,0.6666666666666666,team,135
136,grouped_current_model,2026-04-01,2026-06-24,24,11,13,0,0.4583333333333333,-14.333333333333334,0.5127343451003551,-0.10496755052449645,-2.5192212125879148,0.7694035201467783,-0.5045575396825397,-0.10787245085672234,0.29192783261399935,-0.5121992683063171,-7.895887879254582,7,0.6986,6,-3.9419431237809737,-2.5928352992573176,0.16666666666666666,team,136
137,grouped_current_model,2026-03-27,2026-06-28,29,16,13,0,0.5517241379310345,-20.79310344827586,0.5319417985519265,0.055784334107812084,1.6177456891265505,0.49069743121042975,-0.3024498540243795,0.05328789614766718,0.4086314068679794,0.3042581893430361,-5.529462553598934,4,0.3738,16,-1.1761688367099552,0.0,0.375,team,137
138,grouped_current_model,2026-03-30,2026-05-10,8,3,5,0,0.375,21.875,0.5040705074754841,-0.253804347826087,-2.030434782608696,0.8607461721089684,-0.7663043478260869,-0.253804347826087,0.469836956521739,-0.6960446213235687,-2.95,2,0.7252,5,1.8390992262304031,0.985221674876824,0.6,team,138
139,grouped_current_model,2026-03-29,2026-06-28,35,27,8,0,0.7714285714285715,-36.05714285714286,0.5307091457649534,0.47166938722591883,16.50842855290716,0.002960639704200557,0.18801537128964482,0.47800035494261767,0.737619402599174,3.283376191159919,-2.0,2,0.001,16,-2.2210094145771304,-0.5587385623285035,0.25,team,139
140,grouped_current_model,2026-03-29,2026-06-24,24,11,13,0,0.4583333333333333,-39.916666666666664,0.5289120315695484,-0.13364228992035745,-3.207414958088579,0.8151947309936302,-0.5145369869935297,-0.1346559878858098,0.2563328409205886,-0.6717132223652944,-4.0,4,0.7512,11,-1.3750111200241377,-1.2345679012345625,0.45454545454545453,team,140
141,grouped_current_model,2026-03-31,2026-06-28,39,21,18,0,0.5384615384615384,13.974358974358974,0.5057944387950144,0.07495913430738334,2.92340623798795,0.4025330494582901,-0.2349531149458512,0.07843191687752901,0.3918153728985544,0.45709260920954525,-6.300699300699301,4,0.3132,12,3.0717760943176216,3.5269247886070443,0.75,team,141
142,grouped_current_model,2026-04-01,2026-06-24,30,15,15,0,0.5,-37.833333333333336,0.521002773815264,-0.030070348814416132,-0.902110464432484,0.6606241306078663,-0.37264041869874,-0.024925621932358782,0.3305201357066749,-0.16362438657021777,-3.1511976047904193,4,0.5684,15,2.9786349043099087,1.2397334573066798,0.6666666666666666,team,142
