date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-07-27,Zack Wheeler,under 7.5,6.22,1.28,34.0,110,8,False,-100.0,-2.33
2025-07-26,Joe Ryan,under 6.5,5.51,0.99,16.4,-115,5,True,87.0,5.67
2025-07-26,Tarik Skubal,under 6.5,5.84,0.66,29.9,120,7,False,-100.0,
2025-07-25,Brayan Bello,under 4.5,3.38,1.12,16.0,-135,5,False,-100.0,1.54
2025-07-25,Taijuan Walker,under 3.5,3.2,0.3,20.7,110,3,True,110.0,2.44
2025-07-25,Dean Kremer,under 5.5,4.69,0.81,29.2,110,5,True,110.0,5.0
2025-07-23,Dylan Cease,under 6.5,6.21,0.29,16.7,110,5,True,110.0,14.55
2025-07-23,Jonathan Cannon,over 3.5,4.08,0.58,16.3,115,9,True,115.0,0.0
2025-07-23,Spencer Strider,under 7.5,6.87,0.63,19.3,105,7,True,105.0,-4.65
2025-07-23,Tyler Glasnow,under 6.5,5.73,0.77,29.2,115,12,False,-100.0,2.38
2025-07-22,Chase Burns,under 5.5,4.35,1.15,46.7,125,10,False,-100.0,
2025-07-22,Davis Martin,over 3.5,3.83,0.33,17.2,130,3,False,-100.0,
2025-07-22,Drew Rasmussen,under 3.5,3.43,0.07,22.1,125,5,False,-100.0,
2025-07-21,Paul Skenes,under 6.5,5.0,1.5,25.4,-115,6,True,87.0,1.98
2025-07-21,Zack Wheeler,under 8.5,5.1,3.4,28.0,-155,10,False,-100.0,-2.63
2025-07-21,Jake Irvin,under 4.5,3.65,0.85,16.2,-120,1,True,83.0,6.94
2025-07-21,Kevin Gausman,under 5.5,5.0,0.5,25.0,115,8,False,-100.0,
2025-07-21,Sean Burke,under 3.5,3.73,0.23,15.5,130,5,False,-100.0,2.22
2025-07-21,Jack Flaherty,under 6.5,4.9,1.6,16.7,-140,6,True,71.0,-4.76
2025-07-21,Brady Singer,under 4.5,3.71,0.79,31.4,110,1,True,110.0,-2.33
2025-07-21,Shane Baz,under 5.5,5.25,0.25,16.6,110,4,True,110.0,-6.67
2025-07-21,Tanner Bibee,under 5.5,5.19,0.31,18.0,110,4,True,110.0,
2025-07-20,Jose Quintana,over 3.5,3.93,0.43,15.0,120,5,True,120.0,7.32
2025-07-20,Tarik Skubal,under 7.5,6.48,1.02,35.4,120,11,False,-100.0,0.0
2025-07-20,Garrett Crochet,under 6.5,5.73,0.77,32.3,120,5,True,120.0,2.33
2025-07-20,MacKenzie Gore,under 4.5,4.55,0.05,18.1,125,2,True,125.0,
2025-07-20,Joe Ryan,under 6.5,5.83,0.67,30.2,120,11,False,-100.0,2.33
2025-07-20,Robbie Ray,under 5.5,4.73,0.77,25.1,105,3,True,105.0,2.5
2025-07-20,Cade Horton,under 4.5,3.79,0.71,20.3,-105,4,True,95.0,-7.03
2025-07-20,Gavin Williams,under 5.5,5.03,0.47,21.4,110,11,False,-100.0,-2.33
2025-07-19,Brayan Bello,under 4.5,3.63,0.87,16.6,-120,4,True,83.0,1.85
2025-07-19,Will Warren,under 4.5,4.24,0.26,15.3,105,5,False,-100.0,-8.89
2025-07-18,Sandy Alcantara,under 3.5,3.74,0.24,15.3,130,2,True,130.0,4.55
2025-07-18,Colin Rea,under 4.5,3.42,1.08,21.2,-120,5,False,-100.0,0.0
2025-07-18,Charlie Morton,under 4.5,3.96,0.54,31.0,120,4,True,120.0,2.33
2025-07-18,Spencer Strider,under 7.5,6.48,1.02,29.2,110,8,False,-100.0,5.0
2025-07-18,Michael Soroka,under 4.5,3.43,1.07,19.0,-125,3,True,80.0,8.0
2025-07-12,Garrett Crochet,under 7.5,5.52,1.98,19.6,-140,9,False,-100.0,1.46
2025-07-12,Zack Wheeler,under 6.5,5.01,1.49,25.3,-115,6,True,87.0,-4.24
2025-07-12,Brady Singer,under 5.5,5.42,0.08,21.1,125,9,False,-100.0,0.0
2025-07-09,Reese Olson,under 4.5,3.8,0.7,29.2,110,1,True,110.0,10.0
2025-07-09,MacKenzie Gore,under 5.5,4.23,1.27,26.9,-110,7,False,-100.0,6.06
2025-07-08,Jack Flaherty,under 5.5,4.51,0.99,42.7,125,8,False,-100.0,4.65
2025-07-08,Logan Gilbert,under 6.5,6.03,0.47,17.3,105,5,True,105.0,
2025-07-07,Richard Fitts,under 4.5,3.64,0.86,30.2,105,6,False,-100.0,7.38
2025-07-07,Noah Cameron,under 4.5,4.11,0.39,18.3,105,7,False,-100.0,2.5
2025-07-07,Freddy Peralta,under 5.5,5.19,0.31,20.7,115,7,False,-100.0,-2.27
2025-07-06,Chase Burns,under 4.5,3.64,0.86,24.0,-105,7,False,-100.0,2.27
2025-07-06,Garrett Crochet,under 8.5,6.13,2.37,17.2,-155,7,True,65.0,-5.49
2025-07-06,Tarik Skubal,under 7.5,6.73,0.77,27.6,115,10,False,-100.0,2.38
2025-07-05,Ranger Suarez,under 5.5,5.01,0.49,24.9,115,6,False,-100.0,2.38
2025-07-05,Walker Buehler,under 3.5,3.13,0.37,31.7,125,2,True,125.0,17.86
2025-07-04,Michael Soroka,under 5.5,5.29,0.21,15.7,110,6,False,-100.0,5.0
2025-07-04,Kyle Hendricks,over 2.5,3.59,1.09,15.3,-115,2,False,-100.0,1.98
