feature,perm_delta_24,rank_24,perm_delta_25,rank_25
opp_lineup_pitch_mix_whiff_per_swing_roll3,0.0,200,0.0,245
opp_lineup_pitch_mix_whiff_per_pitch_roll5,0.0,201,0.0,244
opp_lineup_pitch_mix_whiff_per_swing_roll5,0.0,202,0.0,227
opp_lineup_pitch_mix_whiff_per_pitch_roll3,0.0,203,0.0,236
park_hr_factor,0.0,204,0.0,238
opp_lineup_weighted_breaking_whiff_per_swing_prior,0.0,205,0.0,233
pitcher_throws_right,0.0,206,-7.30916857791808e-06,259
opp_lineup_weighted_offspeed_whiff_per_pitch_prior,0.0,207,0.0,232
opp_lineup_weighted_offspeed_whiff_per_swing_prior,0.0,208,0.0,235
opp_lineup_weighted_fastball_whiff_per_swing_prior,0.0,209,0.0,231
opp_lineup_weighted_slider_whiff_per_swing_prior,0.0,210,0.0,234
park_hits_factor,0.0,211,0.0,246
park_runs_factor,0.0,212,0.0,243
opp_lineup_pitch_mix_whiff_per_swing_roll10,0.0,213,0.0,226
park_bb_factor,0.0,214,0.0,241
opp_lineup_pitch_mix_whiff_per_pitch_roll10,0.0,215,0.0,242
park_3b_factor,0.0,216,0.0,240
park_1b_factor,0.0,217,0.0,239
park_2b_factor,0.0,218,0.0,237
p_k_per_ip_career_prior,-1.9368148380660698e-07,219,0.00017040920015978233,82
p_innings_pitched_roll3,-2.2346584558352589e-07,220,0.0002379890390859396,67
p_strikeouts_trimmed_roll3,-2.7514646359083628e-06,221,1.0225225334692389e-05,209
opp_batting_hit_rate_prior,-3.2275446147256305e-06,222,-0.00010318743922099749,347
umpire_hits_allowed_roll5,-4.851700384955748e-06,223,-2.6108897396115437e-05,280
p_k_per_ip_roll10,-4.937176134212073e-06,224,-5.954061681134881e-05,316
p_short_start_rate_under5ip_roll20,-5.174932986529157e-06,225,-7.298337753480765e-07,249
venue_id,-6.333051622631203e-06,226,8.850641210578214e-05,132
p_innings_pitched_min_roll3,-8.827638206065913e-06,227,5.308438659896719e-05,162
venue_strikeouts_roll10,-9.420842633245385e-06,228,0.0006366985114381274,28
umpire_walks_roll20,-9.569867063774496e-06,229,-6.751262064150776e-05,322
opp_batting_bb_rate_roll10,-1.0265789308805396e-05,230,8.570935013900716e-05,135
month,-1.0531113083489529e-05,231,-0.00013895376437431662,367
p_innings_pitched_min_roll10,-1.1389911519588125e-05,232,-2.695607833933522e-05,281
p_bb_rate_roll3,-1.1749194576804456e-05,233,0.00014271075443421654,99
p_high_pitch_rate_90_roll10,-1.2071859049500588e-05,234,-0.00012340858583379522,357
p_low_pitch_rate_under80_roll10,-1.2124598423723931e-05,235,-8.919449401083579e-05,341
sc_avg_release_speed_roll5,-1.2794577408614672e-05,236,-0.00011462216829158934,353
sc_fastball_pct_roll3,-1.3289368652480427e-05,237,-9.536824377629483e-05,344
sc_breaking_pct_roll10,-1.332752181493202e-05,238,0.00023450458199469892,68
pitcher_throws_left,-1.3592051923061455e-05,239,-1.8087551307388594e-06,251
p_innings_pitched_max_roll10,-1.5803328634755864e-05,240,-0.00010812072949588636,350
league_k_rate_roll10,-1.7304212064273018e-05,241,5.48857727971086e-06,216
p_bb_rate_career_prior,-1.773786109993125e-05,242,2.056573287583241e-05,204
p_k9_roll3,-1.798081335062651e-05,243,-4.4825169314632876e-05,304
p_strikes_roll20,-1.9335666544484375e-05,244,-3.560325567042444e-05,294
opp_lineup_opposite_hand_batters,-1.9553408393635506e-05,245,1.0095338218230055e-05,210
p_hits_per_ip_career_prior,-2.0267523716754887e-05,246,0.00031316936795164894,53
sc_swstr_slope_roll5,-2.138022843372056e-05,247,5.2027172665103374e-05,164
opp_pitcher_hits_allowed_roll10,-2.1465413522303577e-05,248,9.715055143022511e-05,128
sc_fastball_pct_roll10,-2.2175541185265323e-05,249,-8.862301984653431e-05,340
p_pitches_min_roll10,-2.3199608541979445e-05,250,-3.0768444952844475e-05,287
sc_swinging_strike_rate_roll3,-2.419982056756087e-05,251,-1.7168035632431077e-05,269
sc_called_strike_rate_roll5,-2.5881529505333845e-05,252,-0.00012093910265489338,355
sc_called_strike_rate_avg_prior,-2.6158556675581756e-05,253,-2.134733949326062e-05,272
opp_batting_bb_rate_roll3,-2.8536093820541453e-05,254,-9.970280367910255e-06,262
sc_max_release_speed_roll20,-2.8637203497616782e-05,255,2.7387626898423e-05,197
umpire_strikeouts_avg_prior,-3.0161872463208007e-05,256,2.5274314174472678e-05,198
p_bb_rate_roll20,-3.0194642044611974e-05,257,0.00011661866169474511,112
league_k_mean_roll5,-3.0609758640731674e-05,258,6.181513676992712e-05,158
league_k_rate_roll3,-3.409417344613086e-05,259,-2.1502844096610295e-05,273
