,0
opp_lineup_weighted_fastball_whiff_per_pitch_prior,0.0
opp_lineup_weighted_slider_whiff_per_pitch_prior,0.0
opp_lineup_pitch_mix_whiff_per_swing_roll10,0.0
opp_lineup_pitch_mix_whiff_per_swing_roll3,0.0
park_runs_factor,0.0
park_hits_factor,0.0
opp_lineup_pitch_mix_whiff_per_pitch_roll3,0.0
park_hr_factor,0.0
park_1b_factor,0.0
park_2b_factor,0.0
park_bb_factor,0.0
park_3b_factor,0.0
opp_lineup_pitch_mix_whiff_per_pitch_roll5,0.0
opp_lineup_pitch_mix_whiff_per_swing_roll5,0.0
opp_lineup_pitch_mix_whiff_per_pitch_roll10,0.0
