fetched_at,event_id,commence_time,home_team,away_team,bookmaker,bookmaker_title,bookmaker_last_update,market,api_market,player_name,line,over_odds,under_odds,snapshot_type,requested_snapshot,historical_snapshot,game_date,pitcher_id,pitcher_name,team,opponent
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betmgm,BetMGM,2026-06-19T18:40:29Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-120,-110,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,bovada,Bovada,2026-06-19T18:39:57Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,100,-140,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,bovada,Bovada,2026-06-19T18:39:57Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-120,-110,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,bovada,Bovada,2026-06-19T18:39:57Z,walks,pitcher_walks,Tarik Skubal,0.5,-230,160,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T18:40:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betrivers,BetRivers,2026-06-19T18:40:01Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-104,-129,open,2026-06-19T18:41:00Z,2026-06-19T18:40:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanduel,FanDuel,2026-06-19T22:35:11Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-110,-110,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanatics,Fanatics,2026-06-19T22:34:33Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,120,-170,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,fanatics,Fanatics,2026-06-19T22:34:33Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-120,-110,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betonlineag,BetOnline.ag,2026-06-19T22:34:46Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-123,-105,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T22:35:24Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,106,-141,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T22:35:24Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-110,-116,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,draftkings,DraftKings,2026-06-19T22:35:24Z,walks,pitcher_walks,Tarik Skubal,0.5,-212,158,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betmgm,BetMGM,2026-06-19T22:34:46Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,115,-155,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,betmgm,BetMGM,2026-06-19T22:34:46Z,strikeouts,pitcher_strikeouts,Tarik Skubal,6.5,-120,-110,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
2026-06-19T22:35:36Z,2969ea2e73c33f58b97b82fe562cf617,2026-06-19T22:41:00Z,Detroit Tigers,Chicago White Sox,bovada,Bovada,2026-06-19T22:34:37Z,hits_allowed,pitcher_hits_allowed,Tarik Skubal,4.5,105,-145,close,2026-06-19T22:38:00Z,2026-06-19T22:35:36Z,2026-06-19,669373,Tarik Skubal,116,145
